battery_power	int_memory	ram
1083	39	3248
868	5	1519
864	53	493
1142	2	1747
608	64	2517
983	53	1389
1720	2	2522
1802	27	1885
591	16	704
1205	10	953
1369	28	3206
713	42	928
1082	2	2177
1719	52	2610
1544	12	489
1090	8	3839
1991	15	1861
1367	56	299
1179	32	340
721	15	3606
1549	62	799
1349	46	2367
1799	30	445
1075	11	3927
684	63	3756
1837	36	770
1619	21	1641
965	13	2343
730	9	2787
1361	47	2495
1494	45	3208
1027	18	1234
1807	38	1069
709	11	3568
689	45	3585
955	2	1974
1872	35	2419
1259	13	340
695	41	2282
1969	63	298
759	39	968
936	18	2391
1176	62	1534
1802	10	696
772	23	2782
1318	45	755
591	16	3746
569	41	2651
764	45	1341
1056	37	2651
1982	12	1824
1830	14	1905
1122	40	1456
1023	63	3155
1283	33	773
1602	35	1829
732	32	3883
1854	33	1675
718	30	1601
897	2	1958
1405	8	2376
798	21	1647
1035	40	3548
1396	37	2694
1749	49	2195
1588	4	2506
1600	16	2073
1522	21	3767
1279	7	1150
719	6	841
544	7	1675
1007	21	1301
590	32	1817
1788	6	2321
748	25	1974
757	64	3433
1561	27	1205
1327	23	872
797	18	2052
727	64	3654
686	36	1503
1515	24	3104
555	17	343
1589	5	3430
1976	45	2470
1884	24	1396
1063	27	2668
672	61	1457
635	16	2452
1906	55	1871
1753	40	1112
659	3	967
1583	14	2498
1783	42	387
1667	21	635
640	6	2711
1913	29	2023
538	25	2215
1191	46	824
816	9	3851
915	33	2156
1157	27	2885
1201	10	495
1379	18	2358
1483	53	1744
1614	9	1832
930	4	2016
1454	6	1300
1784	41	2313
1262	34	3248
797	37	2216
1829	59	3142
1139	58	1850
618	13	1424
1547	57	1620
586	15	2592
1617	36	296
1882	44	3579
674	21	1180
1467	18	3962
858	50	3978
794	2	668
1965	39	2032
1911	36	3057
1512	46	869
510	45	3919
